大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
項次,縣市別,"鄉鎮
市區",路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位,"公告日期
及文號",,,,
,,,,,,,,,,,,
1,"桃園縣
宜蘭縣","復興鄉
大同鄉",台7線,"46k+900~60k+776~85k+725
巴陵~桃宜縣界~百韜橋",禁行甲類大客車,山區道路狹窄，多急彎、多雨濃霧，大型車可會車路段少,本局第一、四區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
2,臺中市,和平區,台8線,"83k+600~111k+922
梨山~大禹嶺",禁行甲類大客車,道路狹窄無法會車、坡度陡、隧道淨高不足、冬季易結冰路滑,本局第二區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
3,花蓮縣,秀林鄉,台8線,"111k+922~161k
大禹嶺~西寶",禁行甲類大客車,山區道路狹窄，多急彎、多雨濃霧，大型車可會車路段少,本局第四區養護工程處,公路總局第四區養護工程處102.05.31四工養字第1021002673B號函,,,,
4,臺中市,和平區,台8臨37線中橫便道,"0k~24k+300
上谷關~德基
(原台8線37k+000~44+055上谷關~壩新路口及台8甲線0k~16k+868
壩新路口~德基)","僅開放小客車(9人座以下)及貨車車種限制17公噸以下大貨車(前後輪均為單軸)通行，
通行條件另規定如下：
1.台8臨37線（中橫便道）係基於人道考量，僅提供梨山地區民眾緊急救護、救難等基本維生之通行。
2.提供設籍於大梨山地區之民眾通行，並針對設籍於豐原、石岡、東勢、新社等四區公所並確有於大梨山地區工作之民眾，經臺中市政府統一投保造冊後，方可准予通行。
3.設籍仁愛鄉榮興村村民，請南投縣仁愛鄉公所統籌投保後造冊送段核行。設籍仁愛鄉榮興村村民，請南投縣仁愛鄉公所統籌投保後造冊送段核行。
4.未設籍梨山，但確實於梨山工作或生活民眾，請台中市政府(設籍當地之縣、市政府)協助確認造冊，再送本處谷關工務段核行",敏督利颱風及七二水災暫緩復建路段(道路中斷),本局第二區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
5,新北市,烏來區,台9甲線,"14k~19k+773
烏來~孝義",禁行甲、乙類大客車(部落之通學、通勤班車除外),山區道路狹窄(4-5公尺)、多處彎道,本局第一區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
6,宜蘭縣,員山鄉,台9甲線,"49k+978~56k+500
雙連埤~圳頭",禁行甲類大客車,道路狹窄、急彎,本局第四區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
7,南投縣,仁愛鄉,台14線,"87k+572~94k
廬山溫泉路口~投85線路口",禁行甲類大客車,,本局第二區養護工程處,公路總局第二區養護工程處102.10.08二工養字第1021011885B號函,,,,
8,南投縣,仁愛鄉,台14線,"94k~99k+016
投85線路口~屯原",禁行甲、乙類大客車,道路狹窄、無會車空間、停車視距距不佳、有濃霧,本局第二區養護工程處,公路總局102.02.26路規交字第1020008486A號函,,,,
9,南投縣,仁愛鄉,台14甲線,"7k+500~18k
清境農場-翠峰",例假日禁行甲類遊覽車或車齡逾12年遊覽車或總重25公噸以上大型車行駛,道路狹窄、坡度陡、有急彎、冬季易結冰路滑,本局第二區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
10,"南投縣
花蓮縣","仁愛鄉
秀林鄉",台14甲線,"18k~32k+855~41k+565
翠峰~合歡山~大禹嶺",禁行甲類大客車及車齡逾12年遊覽車或總重25公噸以上大型車行駛,山區道路狹窄、急彎、冬季易結冰路滑、坡度陡,本局第二、四區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
11,南投縣,"水里鄉
信義鄉",台16線,"19k+603~29k+500
苗圃~地利",禁行甲類大客車,道路狹窄、有急彎、無會車空間,本局第二區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
12,南投縣,信義鄉,台16線,"29k+500~41k+257
地利~合流坪",禁行甲、乙類大客車,道路狹窄、有急彎、無會車空間、停車視距距不佳,本局第二區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
13,高雄市,"六龜區
桃源區",台20線,"78K+500~92K+500~108K+500
寶來~桃源~梅山口",禁行甲、乙類大客車,"5M~8M寬，柏油路面
94K+000~+400、95K +000~ 95K+600、96K ~101K碎石路面",本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
14,"高雄市
台東縣","桃源區
海端鄉",台20線,"108K+500~145K+905~153K
梅山口~天池~埡口~向陽",除施工車輛外其他車種禁止進入,5M~8M寬，莫拉克風災災區路段,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
15,台東縣,海端鄉,台20線,"153K~175K+600
向陽~利稻）",限3.5噸以下小貨車及9人座以下小客車通行，其他車種限制進入,莫拉克風災災區，5M~6M，下午易起霧路段,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
16,南投縣,信義鄉,台21線,"110k+900~145k+035
草坪頭~塔塔加","1.禁行甲類大客車通行 
2.開放甲類大客車通行
  時段：
★早上8時至11時信義
  往阿里山方向
★下午14時至16時阿里
  山往信義方向
3.其中122K~145k+035（烏乾溪~塔塔加）路
  段，每日 17 :30 ~
  隔日7 : 00實施夜間
  封閉 ，管制所有車
  輛通行",莫拉克颱風災區災害道路,"本局第二區養護工程處
",公路總局第二區養護工程處102.11.08二工養字第1021013638B號函,,,,
17,高雄市,"那瑪夏區
甲仙區",台21線,"209K~221K（現地樁號為「臨209便道」0K~ 12K）
那瑪夏~五里埔",除施工車輛外限小型車進入其他車種禁止進入,6~8M寬，混合車道,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
18,高雄市,甲仙區,台21線,"221K~233K
五里埔~甲仙",禁行甲類大客車,12M寬，二線道,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
19,花蓮縣,富里鄉,台23線,"7k+000~16k+705
永豐村~花東縣界",18時至隔日6時禁行甲類大客車,山區道路狹窄，大客車會車困難,本局第四區養護工程處,公路總局102.02.26路規交字第1020008486A號函,,,,
20,台東縣,東河鄉,台23線,"16K+705~25K+276
花東縣界~東河農場",禁行甲、乙類大客車,4~5M寬、,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
21,屏東縣,"三地門鄉
霧台鄉",台24線,"26k+200~40K+000
三德檢查哨~霧台","1.禁行甲類大客車
2.開放乙類大客車通行時段：上午9時至下午16時，其餘時段禁行",4~6M寬，且多處莫拉克風災災修工程,本局第三區養護工程處,公路總局第三區養護工程處103.01.23三工交資字第1031000513號函,,,,
22,屏東縣,霧台鄉,台24線,"40K+000~48K+690
霧台~阿禮",禁行甲、乙類大客車,路寬3~5M，且多處莫拉克風災災修工程,本局第三區養護工程處,公路總局第三區養護工程處103.01.23三工交資字第1031000513號函,,,,
23,屏東縣,牡丹鄉,台26線,70K+707~80K+024（港仔~旭海）,禁行甲類大客車,路寬4M~6M,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
24,台東縣,達仁鄉,台26線,92K+912~93K+983（舊台26線南田路段）,禁行甲、乙、丙類大客車,路寬3~5M,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
25,高雄市,六龜區,台27線,"10K+400~25K+200
興龍~大津",禁行甲、乙類大客車,13K+900~14K+000、16K~ 21K部分施工路段，非柏油路面,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
26,臺北市,士林區,陽明山101甲線道路(巴拉卡公路),,大客車禁行路段,山區道路、多彎道,臺北市政府,公告時間不可考,,ok,1 ,
27,臺北市,士林區,福林路100巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
28,臺北市,士林區,力行街,,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
29,臺北市,南港區,南深路91巷,,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
30,臺北市,南港區,重陽路39巷、57巷、125巷,,20:00-09:00大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
31,臺北市,大同區,大龍街(民族西路至民權西路,,07:00-22:00大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
32,臺北市,大同區,民權西路144巷、錦西街53巷(民權西路至錦西街),,"07:00-08:30、12:00-13:00、15:00-17:00
大客車禁行路段",,臺北市政府,公告時間不可考,,ok,1 ,
33,臺北市,大同區,鄭州路38巷(鄭州路至忠孝西路),,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
34,臺北市,北投區,雙全街,,"06:00-09:00、17:00-19:00
大客車禁行路段",,臺北市政府,公告時間不可考,,ok,1 ,
35,臺北市,北投區,大同街,,"06:00-09:00
大客車禁行路段",路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
36,臺北市,北投區,新民路,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
37,臺北市,信義區,永吉路30巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
38,臺北市,信義區,永吉路120巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
39,臺北市,信義區,吳興街,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
40,臺北市,萬華區,萬青街,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
41,臺北市,文山區,貓空地區,,"11:30-13:00、16:00-09:00
大客車禁行路段",山區道路、多彎道,臺北市政府,公告時間不可考,,ok,1 ,
42,新北市,三芝區,101甲線,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
43,新北市,三芝區,北6,3k+400至終點,禁行甲乙類大客車,,新北市政府,新北市政府102.10.9北府交安字第10228006011號公告函,,,,
44,新北市,金山區,北23,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
45,新北市,金山區,北27,1k+600~4k,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,,,
46,新北市,萬里區,北28,4K~13K,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
47,新北市,萬里區,北28-2,0K~7K,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
48,新北市,平溪區,北31線,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
49,新北市,瑞芳區,北34線,台2線 - 102縣道(隔頂),"假日0800~1800管制大客車
公車及具許可證除外",,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
50,新北市,瑞芳區,"北34線
新山路",金石橋~時雨中學,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
51,新北市,瑞芳區,"北35支線
(濱二路部份路段)",102線九號停車場~濱二路28之2路段,"禁行甲類大客車
(假日大客車空車除外)",,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
52,新北市,瑞芳區,北36,台2線~102縣道(逢甲路),禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
53,新北市,平溪區,北38,台2丙11k+200至北38線終點,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
54,新北市,雙溪區  坪林區,北42,下坑~漁光國小,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
55,新北市,雙溪區  坪林區,北43,南山寺以北路段,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
56,新北市,平溪區,北43,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
57,新北市,八里區,北49,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
58,新北市,八里區,北50,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
59,新北市,八里區,北51,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
60,新北市,八里區,北52,全線,禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
61,新北市,八里區,北53,全線,禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
62,新北市,八里區,北54,"0K+200-2K
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
63,新北市,五股區,北55,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
64,新北市,五股區,北56孝義路,0k~3k+470（公車除外）,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
65,新北市,五股區,北57壟鈞路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
66,新北市,五股區,北58外寮路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
67,新北市,泰山區,北76大科路,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
68,新北市,三峽區,北102,全線,禁行甲、乙類大客車(公車除外),,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
69,新北市,新店區,北105,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
70,新北市,烏來區,北107,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
71,新北市,烏來區,北107-1,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
72,新北市,三峽區,北109,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
73,新北市,三峽區,北112,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
74,新北市,林口區,北120,2K~北77-1,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
75,新北市,瑞芳區,北122,"台2丁~瑞基交界
(瑞竹路圓環起至市界線路段)",禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
76,新北市,中和區,玉皇宮（圓通路369巷）,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
77,新北市,石門區,崁子腳路,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
78,新北市,貢寮區,遠望坑街,雙玉里台2丙線~草嶺古道入口處,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
79,新北市,貢寮區,馬崗街,福連里台2線~三貂角燈塔,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
80,新北市,貢寮區,水返港街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
81,新北市,貢寮區,雞母嶺街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
82,新北市,貢寮區,土地公嶺街,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
83,新北市,貢寮區,巫里岸街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
84,新北市,貢寮區,內寮街,0k~8k,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
85,新北市,貢寮區,文秀坑街,全線,禁行甲類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
86,新北市,汐止區,夢湖路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
87,新北市,汐止區,八連路,八連路1段208號至八連路長青路交叉口,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
88,新北市,石碇區,塗潭道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
89,新北市,石碇區,直潭道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
90,新北市,平溪區,十分街,68k+130至十分迴車道,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
91,新北市,瑞芳區,山尖路,瓜山國小~石山橋路段,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
92,新北市,瑞芳區,山尖路,全線(除瓜山國小~石山橋路段外),禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
93,新北市,瑞芳區,長仁路,北34線黃金舖~長仁社區,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
94,新北市,瑞芳區,明里路,台2線-威遠廟,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
95,新北市,瑞芳區,大寮路63巷,102線~大寮路63巷2之3號,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
96,新北市,瑞芳區,猴碩公路,猴硐介壽橋~碩仁金宇橋,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
97,新北市,瑞芳區,崙頂路,102線-九份國小,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
98,新北市,瑞芳區,輕便路,102線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
99,新北市,瑞芳區,半嶺路,北37線~大粗坑觀光步道,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
100,新北市,瑞芳區,尪仔上天路,大寮路63巷~尪仔上天路1之1號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
101,新北市,土城區,大暖路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
102,新北市,土城區,大暖坑路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
103,新北市,土城區,永寧路,永豐路與北二高涵洞起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
104,新北市,土城區,永和街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
105,新北市,土城區,青雲路,青雲路與石門路口起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
106,新北市,土城區,石門路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
107,新北市,土城區,國際路,國際路55號起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
108,新北市,土城區,永豐路,永豐路與北二高涵洞起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
109,新北市,樹林區,保安街,保安街2段45巷至大同山,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
110,新北市,三重區,重安街,中正南路至環河南路，忠孝橋往臺北市匝道之南側側車道,103年1月29日起，全日管制15噸以上大貨車及甲類大客車通行,,新北市政府,新北市政府102.12.18北府交安字第10232673041號公告函,,,,
111,新北市,八里區,龍形三街,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
112,新北市,八里區,舊城松仔腳21鄰前道路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
113,新北市,八里區,龍米路二段117巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
114,新北市,八里區,龍米路二段159巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
115,新北市,八里區,龍米路三段45巷旁道路（至渡船頭往牛寮埔產業道路）,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
116,新北市,八里區,中華路一段309巷、中華路一段77號旁巷口,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
117,新北市,八里區,中華路二段205巷,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.4.30北府交安字第10217142531號公告函,,ok,1 ,
118,新北市,雙溪區,農北雙007,泰和街、雙泰,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
119,新北市,雙溪區,農北雙014,三叉坑,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
120,新北市,三峽區,農北峽001,茅草湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
121,新北市,三峽區,農北峽003,建安路－三層坪,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
122,新北市,三峽區,農北峽006,竹崙支線、牛角坑路24巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1,
123,新北市,三峽區,農北峽007,內插角路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
124,新北市,三峽區,農北峽008,暗鞍、內插角產業道路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
125,新北市,三峽區,農北峽010,西熊空、竹崙路216巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
126,新北市,三峽區,農北峽012,插角、金龍橋,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
127,新北市,三峽區,農北峽013,"
金圳、金敏產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
128,新北市,三峽區,農北峽017,"
中坑產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
129,新北市,三峽區,農北峽016,"
外詩朗農路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
130,新北市,三峽區,農北峽018,"
內詩朗產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
131,新北市,三峽區,農北峽019,"
內詩朗產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
132,新北市,三峽區,"五寮里10鄰農路
",黎明橋,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
133,新北市,三峽區,有木里水車寮農路,"
水車寮產業道路",禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
134,新北市,三峽區,插角里8鄰農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
135,新北市,三峽區,插角里9鄰農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
136,新北市,三峽區,安坑農路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
137,新北市,三峽區,頭寮坑路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
138,新北市,三峽區,白石鞍路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
