大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
139,新北市,三峽區,金圳里外插角金敏產業道路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
140,新北市,三峽區,有木里水車寮路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
141,新北市,三峽區,有木里合益路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
142,新北市,三峽區,有木里大營路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
143,新北市,三峽區,有木里明山路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
144,新北市,三峽區,有木里紅龜面,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
145,新北市,三峽區,內詩朗外詩朗農路（12鄰）,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
146,新北市,三峽區,五寮里14鄰內詩朗產業道路,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
147,新北市,三峽區,五寮里15鄰,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
148,新北市,三峽區,五寮里3鄰接11鄰,,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
149,新北市,三峽區,粗坑農路,起點：介壽路二段138巷1弄98-4號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
150,新北市,土城區,農北土001,龍泉路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
151,新北市,土城區,農北土045,忠義路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
152,新北市,土城區,農北土峽002,南天母路、承天路、樟康湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
153,新北市,樹林區,農北樹001,三寶街、忠義街、光明產業道路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
154,新北市,樹林區,農北樹002,東和街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
155,新北市,樹林區,農北樹003,信和街、德和街、東和街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
156,新北市,樹林區,農北樹005,東和街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
157,新北市,樹林區,農北樹007,田尾街,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
158,新北市,鶯歌區,農北鶯002,中正三路420巷對面,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
159,新北市,鶯歌區,鶯桃路296巷農路,鶯桃路296巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
160,新北市,林口區,農北林001,嘉寶,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
161,新北市,林口區,農北林002,頂福,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
162,新北市,泰山區,農北泰001,大科路－錢厝坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
163,新北市,泰山區,農北泰001-1,大科路－柯厝坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
164,新北市,八里區,農北八001,楓林坑路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
165,新北市,八里區,農北八003,荖阡,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
166,新北市,八里區,農北八044,"荖阡(八里教養院)
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,,,
167,新北市,八里區,龍米農路,龍米路2段117巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
168,新北市,三芝區,農北芝001,橫山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
169,新北市,三芝區,農北芝002,圓山－二坪頂,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
170,新北市,三芝區,農北芝003,二坪頂,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
171,新北市,三芝區,農北芝005,興華,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
172,新北市,三芝區,農北芝006,店興,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
173,新北市,三芝區,農北芝007,青山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
174,新北市,三芝區,農北芝007-1,二坪頂,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
175,新北市,三芝區,農北芝008,後店－圓山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
176,新北市,淡水區,農北淡001,桂竹圍,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
177,新北市,淡水區,農北淡002,小中寮,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
178,新北市,淡水區,農北淡003,小中寮,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
179,新北市,淡水區,農北淡004,三空泉－中路,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
180,新北市,淡水區,農北淡006,破瓦厝－大竹圍,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
181,新北市,淡水區,農北淡芝005,草埔尾－龜子山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
182,新北市,淡水區,番薯里農路,南平20－28號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
183,新北市,石門區,富基里農路,崁仔腳39號,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
184,新北市,金山區,農北金002,"環湖
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
185,新北市,金山區,農北金003,坑內,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
186,新北市,金山區,農北金006,三和,禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
187,新北市,金山區,農北金007,五湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
188,新北市,金山區,磺溪頭農路,磺溪頭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
189,新北市,萬里區,農北萬001,清水坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
190,新北市,萬里區,農北萬002,上員潭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
191,新北市,萬里區,農北萬006,烏基,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
192,新北市,萬里區,農北萬006-1,烏基,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
193,新北市,萬里區,溪底里2鄰農路,香員林,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
194,新北市,萬里區,鹿崛坪農路,鹿崛坪,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
195,新北市,萬里區,烏塗炭溪底里,烏塗炭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
196,新北市,汐止區,農北汐001,夢湖路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
197,新北市,汐止區,農北汐002,"全線
（八連路三段230號）",禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
198,新北市,汐止區,農北汐003,"全線
（八連路二段620號前道路）",禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
199,新北市,汐止區,農北汐004,汐萬路三段310號旁,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
200,新北市,汐止區,農北汐005,八連路二段329巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
201,新北市,汐止區,農北汐006,八連路二段350巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
202,新北市,汐止區,農北汐007,汐碇路375巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
203,新北市,汐止區,農北汐008,四分尾農路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
204,新北市,汐止區,農北汐009,茄福街310巷起,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
205,新北市,汐止區,農北汐010,內曾路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
206,新北市,汐止區,農北汐012,汐碇路436巷往前536巷,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
207,新北市,汐止區,農北汐013,"全線
（鵠鵠崙路及小坑路）",禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
208,新北市,瑞芳區,農北瑞002,水源地,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
209,新北市,瑞芳區,農北瑞003,粗坑口,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
210,新北市,瑞芳區,農北瑞004,滴水仔,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
211,新北市,瑞芳區,農北瑞005,八分寮頂,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
212,新北市,瑞芳區,農北瑞007,石壁坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
213,新北市,平溪區,農北平001,望古嶺腳,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
214,新北市,平溪區,農北平002,五分寮,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
215,新北市,平溪區,農北平004,景民,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
216,新北市,平溪區,農北平007,大華,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
217,新北市,平溪區,農北平008,一坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
218,新北市,平溪區,農北平009,東勢格,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
219,新北市,平溪區,農北平010,東勢格,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
220,新北市,平溪區,農北平013,芊蓁坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
221,新北市,平溪區,農北平015,火燒寮,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
222,新北市,平溪區,農北平017,平湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
223,新北市,平溪區,農北平020,?東,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
224,新北市,平溪區,農北平041,灰窯,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
225,新北市,平溪區,平高農路,平高,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
226,新北市,平溪區,番子坑農路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,,,
227,新北市,平溪區,平新農路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,,,
228,新北市,平溪區,石灼坑農路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,,,
229,新北市,平溪區,南山農路,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,,,
230,新北市,雙溪區,農北雙001,青雲路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
231,新北市,雙溪區,農北雙003,后番子坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
232,新北市,雙溪區,農北雙004,竹寮坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
233,新北市,雙溪區,農北雙008,"新基東街、九份坑
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
234,新北市,雙溪區,農北雙011,"盤山坑
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
235,新北市,雙溪區,農北雙013,"內柑腳
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
236,新北市,雙溪區,農北雙015,丁子蘭坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
237,新北市,雙溪區,農北雙016,畚箕湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
238,新北市,雙溪區,農北雙017,芊蓁坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
239,新北市,雙溪區,農北雙坪019,烏山路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
240,新北市,雙溪區,農北雙020,灣潭山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
241,新北市,雙溪區,農北雙021,"灣潭
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
242,新北市,雙溪區,烏山農路,烏山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
243,新北市,貢寮區,農北貢001,北勢坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
244,新北市,貢寮區,農北貢002,尖山堀,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
245,新北市,貢寮區,農北貢003,"吉林
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
246,新北市,貢寮區,農北貢004,風櫃斗,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
247,新北市,貢寮區,農北貢005,德心農路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
248,新北市,貢寮區,農北貢006,龍崗,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
249,新北市,貢寮區,農北貢007,虎子山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
250,新北市,貢寮區,農北貢008,內隆,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
251,新北市,貢寮區,農北貢009,卯鯉山,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
252,新北市,貢寮區,農北貢010,丁仔蘭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
253,新北市,貢寮區,農北貢011,赤皮寮,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
254,新北市,貢寮區,農北貢012,尪仔嶺,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
255,新北市,貢寮區,農北貢013,眉月寮,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
256,新北市,貢寮區,農北貢014,下坪,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
257,新北市,貢寮區,農北貢015,"龍崗石壁坑
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
258,新北市,貢寮區,農北貢016,內坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
259,新北市,新店區,農北店001,太平-黃家(土崎頭）,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
260,新北市,新店區,農北店002,四份子,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
261,新北市,新店區,農北店003,永福路,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
262,新北市,新店區,農北店004,雙峰路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
263,新北市,新店區,農北店005,小坑一路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
264,新北市,新店區,農北店006,平廣路-陳宅,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
265,新北市,新店區,農北店007,廣興路-平廣路,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
266,新北市,新店區,農北店010,十二份產業道路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
267,新北市,新店區,翠峰路,翠峰路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
268,新北市,新店區,銀河路,銀河路,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
269,新北市,深坑區,農北深002,"昇高坑路
1k~終點",禁行甲、乙類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
270,新北市,石碇區,農北碇001,獅子頭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
271,新北市,石碇區,農北碇002,光明,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
272,新北市,石碇區,農北碇003,深按,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
273,新北市,石碇區,農北碇004,雙十,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
274,新北市,石碇區,農北碇005,皇帝殿,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
275,新北市,石碇區,農北碇006,南勢坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
276,新北市,石碇區,農北碇007,中央坑,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
277,新北市,石碇區,農北碇008,玉桂嶺,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
278,新北市,石碇區,農北碇009,山羊洞,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
279,新北市,石碇區,農北碇012,七分尾道路,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
280,新北市,石碇區,農北碇013,橫坪,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
281,新北市,石碇區,農北碇014,豐彭,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
282,新北市,石碇區,農北碇016,半路店,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
283,新北市,石碇區,農北碇017,小格頭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
284,新北市,石碇區,農北碇平015,峰頭,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
285,新北市,石碇區,員潭子坑農路,員潭子坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
286,新北市,石碇區,豐彭農路,豐彭,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
287,新北市,石碇區,大湖農路,大湖,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
288,新北市,石碇區,坑內農路,坑內,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
289,新北市,石碇區,小粗坑農路,崙尾寮,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
290,新北市,石碇區,湳窟農路,湳窟,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
291,新北市,石碇區,竹坑農路,竹坑,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
292,新北市,石碇區,潭腰農路,潭腰,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
293,新北市,坪林區,農北坪001,樟空子,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
294,新北市,坪林區,農北坪002,乾溪支線,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
